Company Name,Date of Visit,Role,Category,CTC,Eligibility Percentage,Student Applied,Student Selected
1 Stop.Ai,22-11-2023,Business Development,Level 6 - IT / Non- Engineering,10.00 LPA,60%,2234,67
3D Product Development Pvt. Ltd.,04-01-2024,GET,Level 4 - Core (Placement),3.60 LPA,60%,44,2
5C Network Private Limited,14-10-2023,GET,Level 6 - IT / Non- Engineering,5.95 LPA,60%,2106,3
AB InBev,04-07-2023,H2 INTERN,Level 3 - Super Dream (ILP),12.00 LPA,60%,1959,14
Accenture,23-09-2023,GET / PGET,Level 6 - IT / Non- Engineering,4.50 LPA,60%,4249,4
Accolite,27-09-2023,Software Engineer,Level 3 - Super Dream (Placement),11.00 LPA,60%,3376,2
Achievers Live Medical Solutions,14-01-2024,GET,Level 4 - Core (ILP),0.43 LPA,60%,13,13
Aditya Birla Capital,12-10-2023,DEVELOPER,Level 3 - Super Dream (Placement),11.00 LPA,60%,3360,5
Aditya Birla Capital,13-10-2023,PRODUCT ANALYST,Level 3 - Super Dream (Placement),11.00 LPA,60%,3360,5
Aethereus Consulting,18-12-2023,GET,Level 4 - Dream (ILP),6.00 LPA,60%,1654,8
Afcons Infrastructure Ltd.,18-01-2024,GET / PGET,Level 4 - Core (Placement),4.62 LPA,60%,119,12
Affinsys AI Pvt Ltd,10-09-2023,Devops Engineer,Level 3 - Super Dream (ILP),14.00 LPA,60%,259,1
Affinsys AI Pvt Ltd,10-09-2023,Software Engineer,Level 4 - Dream (ILP),8.50 LPA,85%,689,2
Afford Medical Technologies,13-04-2023,Front End Developer,Level 3 - Super Dream (ILP),10.00 LPA,60%,568,1
AiDash,28-11-2023,Software Engineer -Intern / SDET- Intern,Level 3 - Super Dream (ILP),13.00 LPA,60%,670,1
Amadeus Labs,19-07-2023,Software Development Engineer,Level 2 - Marquee (Placement),12.62 LPA,80%,1423,11
Amagi,19-08-2023,Product Support Intern,Level 4 - Dream (ILP),6.46 LPA,65%,4,0
Amazon,06-11-2023,Software Development,Level 2 - Marquee (ILP),30.00 LPA,65%,2138,5
Amdocs,25-10-2024,GET,Level 4 - Dream (Placement),6.50 LPA,60%,2078,35
Anand Group,16-11-2023,GET,Level 4 - Dream (Placement),8.00 LPA,60%,2934,4
