Company Name,Date of Visit,Role,Category,CTC,Eligibility Percentage,Student Applied,Student Selected
5C Network Private Limited,24-09-2024,Intern,Level 4 - Dream,4-8LPA,60%,3286,1
91squarefeet & Rdash,20-08-2024,CSM & SA,Level 4 - Core,6LPA,60%,19,1
Abbott Healthcare Pvt. Ltd.,26-02-2025,Clinical Specialist Intern - Electrophysiology,Level 4 - Core (ILP),6 lpa,60%,24,3
ABG,19-11-2024,GET,Level 4 - Dream (Placement),7.5 LPA,60,144,12
Accenture,15-07-2024,Associate Software Engineer / Advanced Associate Software Engineer,Level 4 - Dream,450000 - 700000 per year,60%,4891,449
Accolite,05-11-2024,Software Engineer,Level 3 - Super Dream,1100000 per year,60%,3657,3
ACG World,18-02-2025,ASPIRE GET Data Scientist & ASPIRE GET - Robotics & Automation,Level 3 - Super Dream (Placement),10 lpa,60%,2621,5
ACMEGRADE,28-01-2025,Business Development Associate,Level 6 - IT / Non- Engineering (ILP),6.5-8.5,60%,1154,143
Acxiom consulting,05-03-2025,Trainee Technical Consultant / Trainee Functional / Finance Consultant / Trainee Project Manager / HR Executive,Level 6 - IT / Non- Engineering (Placement),4-5 LPA,80%,70,1
Aditya Birla Capital,18-12-2024,GET,Level 4 - Core (Placement),5 lpa,60%,36,1
Afcons Infrastructure Ltd.,04-02-2025,GET,Level 4 - Core (Placement),4 - 5 lpa,60%,363,4
Affinsys AI Pvt Ltd,17-08-2024,Software Engineer,Level 4 - Dream (ILP),8.5,8.5 CGPA OR 85 %,1083,3
Agira Technologies,12-06-2025,Ai Powered Full Stack Developer / Data Engineering,Level 6 - IT / Non- Engineering (ILP),3 LPA,60%,918,2
AIonSi,10-07-2024,Design Verification Engineer - Intern,Level 4 - Dream,5LPA,60%,1,1
Airtel,05-09-2024,Graduate Engineer Trainee,Level 4 - Dream,550000,6 CGPA OR 60 %,3021,6
Airtribe Private Limited,31-01-2025,Project Management Intern,Level 4 - Dream (ILP),6-8 lpa,70%,2205,2
Akamai Technologies,05-02-2024,Software Development Engineer,Level 7 - Regular Internship,35k per Month,60%,253,2
Akamai Technologies,05-02-2024,Software Development Trainee,Level 2 - Marquee (Placement),20 LPA,60,2,2
Alstom,04-08-2024,GET / PGET,Level 4 - Core,6-8.5 LPA,60%,2664,16
Amadeus Labs,26-08-2024,Software Development Engineer,Level 3 - Super Dream,12,80%,2059,21
Amagi,22-09-2024,Product Support Intern,Level 4 - Dream,6.4,65%,508,7
Amantya Technologies,05-04-2025,Trainee Engineer (Tester),Level 6 - IT / Non- Engineering (ILP),4 lpa,60%,252,2
